127.0.0.1, 2013-07-29 20:36:05, GET, /, HTTP/1.1, 303, 0.001242
127.0.0.1, 2013-08-02 21:40:03, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001075
127.0.0.1, 2013-08-02 21:41:48, GET, /, HTTP/1.1, 303, 2.736100
127.0.0.1, 2013-08-02 21:41:48, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.256822
127.0.0.1, 2013-08-02 21:48:58, GET, /, HTTP/1.1, 303, 0.238608
127.0.0.1, 2013-08-02 21:48:59, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.223417
127.0.0.1, 2013-08-02 21:50:03, GET, /, HTTP/1.1, 303, 0.235620
127.0.0.1, 2013-08-02 21:50:03, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.213018
127.0.0.1, 2013-08-02 22:07:33, GET, /, HTTP/1.1, 303, 0.234764
127.0.0.1, 2013-08-02 22:07:33, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.212835
127.0.0.1, 2013-08-02 22:07:43, POST, /nerva2py/nas/user/login, HTTP/1.1, 303, 0.451664
127.0.0.1, 2013-08-02 22:07:44, GET, /nerva2py/nas/index, HTTP/1.1, 200, 0.208371
127.0.0.1, 2013-08-02 22:08:03, GET, /nerva2py/nas/databases, HTTP/1.1, 200, 0.229344
127.0.0.1, 2013-08-02 22:08:05, GET, /nerva2py/nas/index, HTTP/1.1, 200, 0.242983
127.0.0.1, 2013-08-02 22:08:07, GET, /nerva2py/nas/management, HTTP/1.1, 200, 0.066002
127.0.0.1, 2013-08-02 22:08:11, GET, /nerva2py/nas/createDb, HTTP/1.1, 200, 0.070877
127.0.0.1, 2013-08-02 22:08:42, POST, /nerva2py/nas/createDatabase, HTTP/1.1, 200, 28.011689
127.0.0.1, 2013-08-02 22:08:45, GET, /nerva2py/nas/user/logout, HTTP/1.1, 303, 0.345200
127.0.0.1, 2013-08-02 22:08:45, GET, /nerva2py/nas/index, HTTP/1.1, 303, 0.043167
127.0.0.1, 2013-08-02 22:08:45, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.355265
127.0.0.1, 2013-08-02 22:09:11, GET, /nerva2py/demo/create_demo, HTTP/1.1, 200, 10.550215
127.0.0.1, 2013-08-02 22:38:25, GET, /nerva2py/default/index, HTTP/1.1, 200, 0.066654
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/default/index, HTTP/1.1, 200, 0.047877
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/js/jquery.js, HTTP/1.1, 304, 0.000814
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/js/jquery-ui.js, HTTP/1.1, 304, 0.000703
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/js/web2py.js, HTTP/1.1, 304, 0.000761
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/js/calendar.js, HTTP/1.1, 304, 0.002195
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/css/calendar.css, HTTP/1.1, 304, 0.003324
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/css/base.css, HTTP/1.1, 304, 0.002601
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/plugin_layouts/superfish.js, HTTP/1.1, 304, 0.001109
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/css/superfish.css, HTTP/1.1, 304, 0.000926
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/plugin_layouts/layouts/KeepitSimple/css/style.css, HTTP/1.1, 304, 0.001814
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/css/jquery-ui.css, HTTP/1.1, 304, 0.016457
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/images/poweredby.png, HTTP/1.1, 304, 0.000826
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/images/css3buttons_backgrounds.png, HTTP/1.1, 304, 0.001008
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/images/icon24_ntura.png, HTTP/1.1, 304, 0.001721
127.0.0.1, 2013-08-02 23:31:16, GET, /nerva2py/static/images/css3buttons_icons.png, HTTP/1.1, 304, 0.000751
127.0.0.1, 2013-08-03 00:49:34, GET, /, HTTP/1.1, 303, 0.368686
127.0.0.1, 2013-08-03 00:49:34, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.290993
127.0.0.1, 2013-08-03 00:49:40, GET, /admin, HTTP/1.1, 303, 0.188216
127.0.0.1, 2013-08-03 00:49:40, GET, /admin/default/index, HTTP/1.1, 200, 0.054093
127.0.0.1, 2013-08-03 00:49:44, POST, /admin/default/index, HTTP/1.1, 303, 0.127721
127.0.0.1, 2013-08-03 00:49:44, GET, /admin, HTTP/1.1, 404, 0.009817
127.0.0.1, 2013-08-03 00:59:24, GET, /, HTTP/1.1, 303, 0.236238
127.0.0.1, 2013-08-03 00:59:24, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.223727
127.0.0.1, 2013-08-03 00:59:34, GET, /admin, HTTP/1.1, 303, 0.207305
127.0.0.1, 2013-08-03 00:59:34, GET, /admin/default/index, HTTP/1.1, 303, 0.009322
127.0.0.1, 2013-08-03 00:59:34, GET, /admin/default/site, HTTP/1.1, 200, 0.105587
127.0.0.1, 2013-08-03 00:59:34, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.002935
127.0.0.1, 2013-08-03 00:59:34, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.001513
127.0.0.1, 2013-08-03 00:59:35, POST, /admin/default/check_version, HTTP/1.1, 200, 0.969800
127.0.0.1, 2013-08-03 00:59:52, GET, /admin/debug/interact, HTTP/1.1, 200, 0.193934
127.0.0.1, 2013-08-03 00:59:52, GET, /admin/static/js/autoscroll.js, HTTP/1.1, 200, 0.000896
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/debug/interact, HTTP/1.1, 200, 0.045613
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000805
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000717
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000692
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000759
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000818
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001101
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000721
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000733
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000695
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000713
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000722
127.0.0.1, 2013-08-03 00:59:55, GET, /admin/static/js/autoscroll.js, HTTP/1.1, 304, 0.000725
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/debug/interact, HTTP/1.1, 200, 0.060858
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000807
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000788
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000814
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000750
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000714
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000723
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000729
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000708
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000718
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000766
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/js/autoscroll.js, HTTP/1.1, 304, 0.000726
127.0.0.1, 2013-08-03 00:59:58, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000946
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/debug/interact, HTTP/1.1, 200, 0.044738
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000798
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000730
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000752
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000902
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000756
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000697
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000697
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000711
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000724
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000776
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/js/autoscroll.js, HTTP/1.1, 304, 0.000730
127.0.0.1, 2013-08-03 01:00:02, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000763
127.0.0.1, 2013-08-03 01:00:05, GET, /admin/debug/interact, HTTP/1.1, 200, 0.049158
127.0.0.1, 2013-08-03 01:00:05, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000817
127.0.0.1, 2013-08-03 01:00:05, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000737
127.0.0.1, 2013-08-03 01:00:05, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000703
127.0.0.1, 2013-08-03 01:00:05, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000786
127.0.0.1, 2013-08-03 01:00:05, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000815
